Description,Extension,Category,MIME type
Printer Font Binary File,.pfb,Font Files,application/x-font-type1
Adlib Tracker II Instrument File,.a2i,Audio,Unknown
ScreenFlow Document,.screenflow,Video,Unknown
Godot Engine 3D Mesh File,.msh,3D Images,model/mesh
JVC Camera Video Data File,.ced,Video,Unknown
Bitmap Cache File,.bmc,Raster Images,Unknown
MediaFACE Project Template,.mft,Page Layouts,application/rpki-manifest
Multimedia Playlist File,.pls,Misc Files,application/pls+xml
TestComplete Project File,.mds,Settings Files,Unknown
Parallels Desktop Floppy Disk Image File,.fdd,Disk Images,Unknown
Starbase Image,.img,Images,Unknown
PRS Archive,.prs,Compressed,Unknown
BlackBerry IT Policy File,.bin,Settings Files,application/octet-stream
Ashampoo Backup Archive,.ashbak,Backup Files,Unknown
Perl POD File,.pod,Developer Files,Unknown
Lectra Cutter's Must File,.vet,CAD Files,Unknown
Concordance Database File,.dcb,Database Files,Unknown
EagleGet Temporary File,.egt,Misc Files,Unknown
AutoCAD Query Set,.dbq,CAD Files,Unknown
GPS Exchange File,.gpx,GIS Files,Unknown
SMIL Presentation,.smi,Video,application/smil+xml
Interplay MVE Video File,.mve,Video,Unknown
RoboForm SearchCard File,.rfq,Settings Files,Unknown
Alias Image File,.als,Images,Unknown
Lightkey Project,.lightkeyproj,Settings Files,Unknown
Chinese Academic Journal File,.caj,Page Layouts,Unknown
WinDev Window File,.wdw,Developer Files,Unknown
Inventor Drawing,.idw,CAD Files,Unknown
Equation Illustrator Project File,.mgcb,Vector Images,Unknown
SMS Installer Script,.ipf,Executable,Unknown
Solid Edge Weldment Document,.pwd,CAD Files,Unknown
Photoshop Plug-in,.8bi,Plugin Files,Unknown
ASCII Text File,.ascii,Text,text/vnd.ascii-art
Textease CT Database File,.te,Database Files,Unknown
TETR.IO Replay,.ttr,Game Files,Unknown
Acer eRecovery Management Backup File,.acr,Backup Files,Unknown
Visual Studio Resource File,.resources,Developer Files,Unknown
Chinese (Hanzi) Text,.hz,Text,Unknown
HybridJava Web Page,.page,Web Files,Unknown
Microsoft Access Data Type Template,.accft,Database Files,Unknown
Xcode Playground File,.playground,Developer Files,Unknown
Office 2007 Chart Template File,.crtx,Data Files,Unknown
Active@ Raw Disk Image Backup File,.dim,Backup Files,application/vnd.fastcopy-disk-image
Virtual CD 6 CD Image,.vc6,Disk Images,Unknown
BlackBerry Backup File,.ipd,Backup Files,Unknown
Masher Project,.jms,Misc Files,Unknown
JavaScript Source File,.js,Source Code,text/javascript
Device-Independent Bitmap Image,.dib,Raster Images,Unknown
Solitaire Image Recorder Image,.sir,Images,Unknown
dBASE Form,.wfm,Developer Files,Unknown
StarCraft Information Table,.tbl,Data Files,Unknown
IBM HotMedia Multimedia File,.mvr,Web Files,Unknown
Freakshow Industries License File,.freakshow,Misc Files,Unknown
Nikon Disk Identification File,.dsc,Misc Files,text/prs.lines.tag
GraphPad Prism XML Project,.pzfx,Page Layouts,Unknown
Pro Tools Session Template,.ptt,Audio,Unknown
3D Patch File,.pat,3D Images,image/x-coreldrawpattern
Bfx Bitware Image,.bfx,Images,Unknown
MPlayer Subtitles File,.mpsub,Video,Unknown
Enhanced Compression Wavelet Image,.ecw,Raster Images,Unknown
Age of Empires 3: The WarChiefs Recording,.age3xrec,Game Files,Unknown
Adobe Multiple Font Metrics File,.amfm,Font Files,Unknown
Presentations,Unknown,Presentations,Unknown
3ds Max Pose Adjustment File,.cal,3D Images,Unknown
Packet Tracer Compressed Archive,.pkz,Compressed,Unknown
Active GIF Creator Project,.agif,Raster Images,Unknown
WebPlus Project Template,.wpx,Web Files,Unknown
FLIC Animation,.flc,Video,Unknown
Final Cut Pro Event File,.fcpevent,Data Files,Unknown
XenServer License File,.xslic,Misc Files,Unknown
Visual Studio Code Analysis Rule Set File,.ruleset,Settings Files,Unknown
Visual Basic UserDocument,.dob,Developer Files,Unknown
Blizzard StarCraft 2 Localization File,.sc2locale,Misc Files,Unknown
Max PC Safe Encrypted File,.enx,Encoded Files,Unknown
Painter Frame Stack File,.frm,Raster Images,application/x-maker
MPEG-4 Playlist,.m4u,Video,video/vnd.mpegurl
Module-Definition File,.def,Developer Files,text/plain
RemObjects Data Abstract Schema File,.daschema,Database Files,Unknown
WinHKI HKI3 Archive,.hki3,Compressed,Unknown
Stellar Insta Backup Image,.rbf,Backup Files,Unknown
Cathy Catalog File,.caf,Database Files,Unknown
Swift Publisher Document,.spub,Page Layouts,Unknown
Hanvon eBook File,.htxt,eBook,Unknown
PanoramaStudio Project File,.pap,Raster Images,Unknown
Free Download Manager Add-on,.fda,Plugin Files,Unknown
Multi-Purpose Internet Mail Extension,.mime,Encoded Files,message/rfc822
Piriform Portable Mode Flag,.dat,Misc Files,Unknown
Visual Importer Script,.vis,Database Files,application/vnd.visionary
TaxAct 2019 Tax Return Backup File,.ba9,Backup Files,Unknown
Citrix Rapid Application Delivery File,.rad,Settings Files,Unknown
FL Studio Mobile Project,.flm,Audio,Unknown
PowerTracks Pro Audio Project File,.seq,Audio,Unknown
RMXP Data File,.rxdata,Game Files,Unknown
Session Description Protocol File,.sdp,Data Files,application/sdp
SeeVogh Player Video Recording,.evo,Video,Unknown
FrameMaker Maker Markup Language File,.mml,Page Layouts,application/mathml+xml
FrameMaker Maker Markup Language File,.mml,Page Layouts,text/mathml
Windows EBD System File,.ebd,System Files,Unknown
Streets & Trips Map File,.est,GIS Files,Unknown
Disc Cover File,.dcover,Misc Files,Unknown
Rocket League Replay,.replay,Game Files,Unknown
Jovian VI Image,.vi,Images,Unknown
byLight Image,.bif,Images,Unknown
Win97 Database,.p97,Database Files,Unknown
PageMaker Template File,.pmt,Font Files,Unknown
MADRIX MIDI Remote Configuration,.mmrc,Settings Files,Unknown
Photoshop Actions File,.atn,Settings Files,Unknown
Auto F/X Image,.afx,Images,Unknown
Video Game Demo File,.dem,Game Files,Unknown
4-MP3 Database File,.4mp,Audio,Unknown
Runescape Cache File,.idx255,Game Files,Unknown
ZPAQ Archive,.zpaq,Compressed,Unknown
Kexi Database,.kexi,Database Files,Unknown
Avid Bin File,.avb,Video,Unknown
JCloze File,.jcl,Misc Files,Unknown
File Splitter Split Archive Part 1,.chunk001,Misc Files,Unknown
Robot Structural Analysis Design File,.rtd,CAD Files,Unknown
VRChat World,.vrcw,Game Files,Unknown
Makefile,.mak,Developer Files,Unknown
Chameleon Encrypted Database File,.chml,Encoded Files,Unknown
Fax Group 3 Image,.g3,Images,image/g3fax
iTunes Store Package,.itmsp,Data Files,Unknown
General CADD Pro Hatch Pattern File,.gxh,CAD Files,Unknown
Pegs Image,.pxa,Images,Unknown
ADO.NET Entity Data Model Designer File,.edmx,Developer Files,Unknown
Steam Game Backup File,.csm,Backup Files,chemical/x-csml
GIFBlast Compressed Image File,.gfb,Raster Images,Unknown
IDRISI Vector Image,.vct,GIS Files,Unknown
TealPaint Image,.pdb,Images,application/vnd.palm
FreeHand 9 Drawing Template,.ft9,Vector Images,Unknown
Audacity Project File,.aup,Audio,Unknown
ChordWizard Template,.cwt,Page Layouts,Unknown
ARJ Compressed File Archive,.arj,Compressed,Unknown
Inventor Part,.ipt,CAD Files,Unknown
CrazyTalk Clip File,.clp,Data Files,application/x-msclip
MagicaCSG 3D Model,.mcsg,3D Images,Unknown
iAd Producer Plugin Class Description File,.iadclass,Plugin Files,Unknown
Nintendo DS Model Texture File,.nsbtx,Game Files,Unknown
Telemate Script,.tms,Executable,Unknown
Overture 5 Musical Score,.ovex,Audio,Unknown
StarOffice Drawing,.sda,Vector Images,application/vnd.stardivision.draw
Ricoh Camera Image File,.j6i,Camera Raw Image,Unknown
Sweet Home 3D Model Library,.sh3f,3D Images,Unknown
Live Meeting Connection File,.rtc,Misc Files,Unknown
CATIA V5 Assembly File,.catproduct,CAD Files,Unknown
TextMate Theme File,.tmtheme,Settings Files,Unknown
DICOM Image,.dicom,Raster Images,Unknown
Delphi Project,.dproj,Developer Files,Unknown
Nintendo 64 Song Library,.usflib,Audio,Unknown
Compressed CD Image File,.cdz,Compressed,Unknown
Perl Executable File,.plx,Executable,Unknown
Yahoo! Widget,.widget,Executable,Unknown
SFV Checksum File,.sfv,Metadata Files,text/x-sfv
Corel Drawing File,.drw,Vector Images,Unknown
Game Boy Color ROM,.gbc,Game Files,Unknown
Autoconf Input File,.in,Developer Files,text/plain
TextPad Syntax File,.syn,Plugin Files,Unknown
AppleScript Editor Plug-in,.seplugin,Plugin Files,Unknown
Geosoft Workspace File,.gws,GIS Files,Unknown
India Ink Photoshop Plug-in,.q7q,Plugin Files,Unknown
Microsoft Visio Drawing (Legacy),.vsd,Vector Images,application/vnd.visio
Nisus Writer Glossary,.ngloss,Text,Unknown
Minolta Raw Image,.mrw,Camera Raw Image,image/x-minolta-mrw
Linden Lab Mesh File,.llm,3D Images,Unknown
XML User Interface Language File,.xul,Web Files,application/vnd.mozilla.xul+xml
Neat Database File,.nwdb,Database Files,Unknown
Ukagaka Ghost,.nar,Misc Files,Unknown
Cabri 3D Document,.cg3,3D Images,Unknown
Hanword Document,.hwp,Text,application/x-hwp
FileMaker Pro Label File,.flb,Page Layouts,application/vnd.ficlab.flb+zip
DiskCatalogMaker Thumbnail-Enabled Catalog,.dcmd,Data Files,Unknown
ALZip Third Split Archive File,.a01,Compressed,Unknown
Heroes of Might and Magic IV Data File,.h4r,Game Files,Unknown
EyeTV Recording File,.eyetv,Video,Unknown
CryptLoad Router Information File,.clr,Settings Files,Unknown
Windows Wireless Network Settings File,.wfc,Settings Files,Unknown
Compressed SVG File,.svgz,Vector Images,image/svg+xml
Unity Whirld Package,.whirld,Game Files,Unknown
iriver iQuickList File,.pla,Misc Files,Unknown
Citrix Application Profile,.profile,Settings Files,Unknown
Windows Command File,.cmd,Executable,Unknown
Valve ICE Encoded Script,.ctx,Game Files,chemical/x-ctx
PlayStation 4 or 5 Update File,.pup,Game Files,Unknown
Visual F# Project File,.fsproj,Developer Files,Unknown
Unigraphics Part File,.prt,CAD Files,chemical/x-ncbi-asn1-ascii
Xcode Project,.xcodeproj,Developer Files,Unknown
Virtual Machine Shell Information File,.vmcx,Settings Files,Unknown
XML-Data Reduced File,.xdr,Settings Files,Unknown
Microsoft InfoPath Form,.infopathxml,Page Layouts,Unknown
Comic Life 2 Document,.cl2doc,Page Layouts,Unknown
Crazy Machines Font File,.f3f,Font Files,Unknown
Encapsulated PostScript Format File,.epsf,Vector Images,application/postscript
Kivuto Secure Download Manager File,.sdx,Misc Files,Unknown
Graphical Interchange Format File,.gif,Raster Images,image/gif
SQL Server Log Shipping File,.wrk,Database Files,Unknown
FMAT RAW Image,.cxi,Camera Raw Image,Unknown
Final Fantasy Media Archive,.lgp,Game Files,Unknown
Bryce Leaf Shape File,.lps,3D Images,Unknown
MapInfo Geoset File,.gst,GIS Files,Unknown
RSView32 Project File,.rsv,Data Files,Unknown
Operation Flashpoint Mission File,.sqm,Game Files,Unknown
Microsoft Help Index File,.mshi,Developer Files,Unknown
SharePoint Template,.stp,Web Files,model/step
TI-84 Plus CE Bundle Image,.b84,System Files,Unknown
Terraria Mobile Player File,.player,Game Files,Unknown
Literate Haskell Script,.lit,Developer Files,Unknown
Web Point and Print File,.webpnp,System Files,Unknown
VLC Media Player Skin File,.vlt,Settings Files,Unknown
Roblox Model,.rbxm,Developer Files,Unknown
WordPad Converter File,.wpc,Data Files,Unknown
Cricket Audio Bank File,.ckb,Audio,Unknown
Fuji Xerox DocuWorks File,.xdw,Page Layouts,application/vnd.fujixerox.docuworks
Xactimate Insurance Claims Estimate,.esx,Data Files,Unknown
Unified Power Format File,.upf,CAD Files,Unknown
ThemePark Project File,.tpark,Settings Files,Unknown
Microsoft Excel Backup File,.xlk,Backup Files,Unknown
Snes9x Save State,.frz,Game Files,Unknown
LEGO Digital Designer Model File,.lxf,3D Images,application/LXF
PVA Video File,.pva,Video,Unknown
Art Document,.art,Vector Images,message/rfc822
Turing Program Source File,.tur,Developer Files,application/tamp-update
Symbian Project Specification File,.mmp,Settings Files,Unknown
GlidePlan Map Document,.gpn,Text,Unknown
Comic Life Document,.comicdoc,Page Layouts,Unknown
TECkit Mapping File,.map,Misc Files,Unknown
Java Properties File,.properties,Settings Files,Unknown
Altium Designer Workspace File,.dsnwrk,CAD Files,Unknown
STK Globe File,.glb,GIS Files,model/gltf-binary
IconWorkshop Extended Information File,.ii,Data Files,Unknown
JPEG 2000 Image,.jpf,Raster Images,image/jpx
FoxPro Form,.scx,Database Files,Unknown
SPIR-V Module,.spv,3D Images,Unknown
Visual Basic UserControl Object File,.ctl,Developer Files,Unknown
Color Picker Plugin,.colorpicker,Plugin Files,Unknown
Plasma Widget,.plasmoid,System Files,Unknown
DataTex Document,.dtex,Text,Unknown
Hemera Thumbs Image,.hta,Images,application/hta
E-Transcript File,.ptx,Page Layouts,image/x-pentax-pef
Amaze Encrypted File,.aze,Encoded Files,Unknown
Dinopixel Drawing,.dino,Raster Images,Unknown
StarImpress Template,.vor,Metadata Files,application/vnd.stardivision.writer
StarOffice Drawing,.sxd,Vector Images,application/vnd.sun.xml.draw
Capito Data File,.capt,Data Files,Unknown
Bzip2 Compressed File,.bz2,Compressed,application/x-bzip2
Adobe Folio File,.folio,Page Layouts,Unknown
Compressed Multimedia Fusion File,.ccn,Developer Files,Unknown
Universal Subtitles Format File,.usf,Video,Unknown
SQL Server Trace File,.trc,Database Files,Unknown
H&R Block 2013 Tax Return,.t13,Data Files,Unknown
Time Machine Backup Progress File,.inprogress,Backup Files,Unknown
SecuROM Analysis File,.sr0,Misc Files,Unknown
Gzipped Javascript File,.jgz,Compressed,Unknown
Bryce Time File,.tme,3D Images,Unknown
LucasFilm Format Image,.lff,Images,Unknown
Greenfish Icon Editor Pro Graphic,.gfie,Raster Images,Unknown
Downloaded Sims 2 Package File,.sims2pack,Game Files,Unknown
InCopy Document,.incd,Page Layouts,Unknown
Visual Studio Binary Macro Project,.vsmacros,Developer Files,Unknown
VeraCrypt Container,.hc,Disk Images,Unknown
Collection Building Custom Zone File,.zon,Settings Files,Unknown
Visual Studio Shell File,.pkgdef,Developer Files,Unknown
Moto Android Backup File,.mabk,Backup Files,Unknown
PL/B Source File,.plc,Developer Files,application/vnd.mobius.plc
Adobe Photoshop Image,.psd,Images,image/vnd.adobe.photoshop
Explore (TDI) & Maya Image,.iff,Images,Unknown
CP8 256 Gray Scale Image,.cp8,Images,Unknown
Orient Computer Encrypted Data File,.pdex,Encoded Files,Unknown
Disc Image File,.iso,Disk Images,application/x-iso9660-image
AZZ Cardfile Database File,.azz,Data Files,Unknown
FileMaker Pro 12 Snapshot Link,.fmpsl,Database Files,Unknown
Bash Shell Script,.bsh,Shell Scripts,Unknown
Unknown,.mhtml,Source Code,message/rfc822
Altium Designer Multi-board Project,.prjmbd,CAD Files,Unknown
Booasm Compressed Archive,.boo,Compressed,text/x-boo
Canon Raw 2 Image,.cr2,Camera Raw Image,image/x-canon-cr2
DAZ Brick Material File,.dbm,3D Images,Unknown
Acrobat Forms Data Format,.fdf,Text,application/vnd.fdf
LHARC Compressed Archive,.lha,Compressed,application/octet-stream
Lens Blur Project File,.lb,Raster Images,Unknown
Autodesk ASCII Export File,.asc,Text,application/pgp-signature
Compressed Audio Interchange File,.aifc,Audio,audio/x-aiff
Adobe QTIndex File,.qtindex,Video,Unknown
Native Kontrol Standard Preset,.nksf,Audio,Unknown
Yoti Recovery File,.yoti,Backup Files,Unknown
Magick Scripting Language File,.msl,Executable,application/vnd.mobius.msl
Dictionary File,.dic,Misc Files,text/x-c
JewelCase Maker File,.jwc,Page Layouts,Unknown
Encore Musical Notation,.enc,Audio,Unknown
Open eBook File,.oeb,eBook,application/vnd.openeye.oeb
AMX Mod Plugin Source File,.sma,Developer Files,Unknown
Cal3D Model Configuration File,.cfg,3D Images,Unknown
MyPhoneExplorer Backup File,.mpb,Backup Files,Unknown
Xpadder Controller Profile,.xpaddercontroller,Settings Files,Unknown
Borland Project Group,.bpg,Developer Files,Unknown
Parallels Desktop Memory Dump File,.mem,System Files,Unknown
Flash Intro Project File,.ptr,Misc Files,Unknown
Digital Video,.dv,Videos,video/dv
Lipikar Uniform Format File,.luf,Text,Unknown
WinAce Split Archive Part 10,.c10,Compressed,Unknown
Backup File,.bak2,Backup Files,Unknown
Comma-Separated Values File,.csv,Data Files,text/csv
Adobe PDFXML Document,.pdfxml,Page Layouts,Unknown
WebMoney Key File,.kwm,Misc Files,Unknown
CoverDesigner Template,.nct,Images,Unknown
Picasso 64 Image,.p64,Images,Unknown
Native Compressed Wave File,.ncw,Audio,Unknown
Adobe InDesign Filter,.smwt,Misc Files,Unknown
LimeWire Theme Pack,.lwtp,Misc Files,Unknown
DevCad Document,.dc1,CAD Files,Unknown
Assembly Language Source Code File,.asm,Developer Files,text/x-asm
Atari SAP Music File,.sap,Audio,Unknown
Printer Job Language File,.pjl,Page Layouts,Unknown
Audible Enhanced Audiobook File,.aax,Audio,Unknown
Temporary File,.$$$,Backup Files,Unknown
BirdsEye JNX Raster Map,.jnx,GIS Files,Unknown
Edgecam Educational Part File,.epf,Data Files,Unknown
Linux Virtual Hard Disk,.disk,Disk Images,Unknown
PixBuilder Studio Image,.pbs,Raster Images,Unknown
SmartMusic Performance File,.smp,Audio,audio/vnd.sealedmedia.softseal.mpeg
RemObjects Data Abstract Data Diagrams File,.dadiagrams,Database Files,Unknown
PaintShopPro Browser Cache File,.jbf,Images,Unknown
Male Normal CT Image,.fre,Images,Unknown
dBASE Database Backup,.dbk,Backup Files,Unknown
Microsoft Search Catalog Index File,.ps2,System Files,Unknown
Text Document,.txt,Documents,text/plain
GenePix Settings File,.gps,Settings Files,Unknown
IK Multimedia Preset FIle,.ikmp,Settings Files,Unknown
Geodatabase Timestamp File,.timestamp,GIS Files,Unknown
Clicker Document,.cdoc,Page Layouts,Unknown
Autoplay Media Studio Exported Page,.xpg,Data Files,Unknown
Z-machine Package Game File,.zblorb,Game Files,Unknown
Autodesk QuickCAD File,.cad,CAD Files,Unknown
Microsoft Excel Add-In File,.xla,Plugin Files,application/vnd.ms-excel
OrCAD Project File,.opj,CAD Files,Unknown
CyBook Thumbnail Image,.t2b,Raster Images,Unknown
GLBasic Shoebox File,.sbx,Compressed,Unknown
GarageBand Project,.gbproj,Audio,Unknown
Animate Asset Package,.ana,Compressed,Unknown
Nero BackItUp Information File,.nbi,Backup Files,Unknown
Compiled Rabbit Network Script,.bns,Executable,Unknown
AutoCAD Interface Layout File,.mnu,Settings Files,Unknown
Sisulizer Package File,.sle,Data Files,Unknown
Windows UCE System File,.uce,System Files,Unknown
Windows Backup File,.win,Backup Files,model/vnd.gdl
SQL Server Transaction Log File,.ldf,Data Files,Unknown
Pack200 Packed Jar File,.jar.pack,Compressed,Unknown
Gem Specification File,.gemspec,Developer Files,Unknown
TuneUp Utilities Icon Package,.tip,Misc Files,Unknown
SBIG CCD camera ST-X Image,.st6,Images,Unknown
GROMACS Binary Input File,.tpb,Data Files,Unknown
Adobe AIR Installation Package,.air,Executable,application/vnd.adobe.air-application-installer-package+zip
Sony Raw Image File,.srf,Images,image/x-sony-srf
OmniGraffle Drawing,.graffle,Vector Images,Unknown
Keep My Notes Backup,.mynotesbackup,Backup Files,Unknown
WinMount Compressed File,.mou,Compressed,Unknown
Jeff's Image Format Image,.jif,Images,image/jpeg
Jeff's Image Format Image,.jif,Images,image/pjpeg
Sparkle Website Project,.sparkle,Web Files,Unknown
TestComplete Script Extension Package,.tcx,Compressed,Unknown
Ensoniq EPS Family Disk Image,.gkh,Disk Images,Unknown
SQL Server Data Tier Application Package,.dacpac,Database Files,Unknown
Kodak DC25 Digital Photo,.k25,Camera Raw Image,image/x-kodak-k25
TaxCut 2006 Tax Return,.t06,Data Files,Unknown
C++ Source Code File,.cpp,Developer Files,text/x-c
Saved File Fragment,.chk,Misc Files,Unknown
JPEG 2000 Image,.j2k,Raster Images,Unknown
TaxCut 2008 Tax Return,.t08,Data Files,Unknown
Movie Studio Project Backup,.mv_,Backup Files,Unknown
BeatMania 7-Key Song File,.bme,Game Files,Unknown
Camtasia Recording,.cmrec,Video,Unknown
FACE Graphic File,.face,Raster Images,Unknown
Microsoft Project File,.mpp,Data Files,application/vnd.ms-project
RoQ Full Motion Video,.roq,Video,Unknown
Pixar Image,.pic,Images,image/x-pict
Tiny Image,.tn3,Images,Unknown
Unity Animation File,.anim,3D Images,Unknown
Video Game Package,.pak,Game Files,Unknown
HTTP Archive FIle,.har,Web Files,Unknown
Cerber2 Ransomware Encrypted File,.cerber2,Encoded Files,Unknown
NoteMap Outline File,.cnm,Text,Unknown
GIMP Gradient File,.ggr,Raster Images,Unknown
Windows Heap Dump,.hdmp,System Files,Unknown
InCopy Assignment File,.icma,Misc Files,Unknown
PSP Update File,.psar,Misc Files,Unknown
Porteus Module,.xzm,Compressed,Unknown
Microsoft Excel HTML Spreadsheet Template,.xlthtml,Spreadsheet,Unknown
MIUI Theme Metadata,.mrm,System Files,Unknown
PageMaker Template File,.t65,Font Files,Unknown
ASP.NET Skin File,.skin,Settings Files,Unknown
ZSNES Slot 0 Saved State File,.zs0,Game Files,Unknown
Package Resource Index File,.pri,Developer Files,Unknown
ScreamTracker 3 Module,.s3m,Audio,Unknown
AVS Plugin Effects File,.ape,Plugin Files,Unknown
64-bit Linux Executable File,.x86_64,Executable,Unknown
Ultiboard Layout Project,.ewprj,Settings Files,Unknown
Space Engine Script,.sc,Misc Files,application/vnd.ibm.secure-container
aria2 Control File,.aria2,Misc Files,Unknown
FileMaker Pro Database File,.usr,Database Files,Unknown
RemObjects Data Abstract Driver File,.dad,Database Files,Unknown
AutoCAD Runtime Extension File,.arx,Plugin Files,Unknown
Compiled Lua Script,.luac,Plugin Files,Unknown
Clicker Grid Set,.clkx,Misc Files,application/vnd.crick.clicker
Cadence Allegro PCB Design,.brd,CAD Files,Unknown
PKCS #12 Certificate File,.pfx,Encoded Files,application/x-pkcs12
Line 6 Device Recording,.jam,Audio,application/vnd.jam
Windows Media Photo File,.wmp,Raster Images,Unknown
Locky Ransomware Encrypted File,.aesir,Encoded Files,Unknown
Microsoft Help 2 Table of Contents File,.hxt,Misc Files,Unknown
Cal3D Binary Materials File,.crf,3D Images,Unknown
Raskin Place Layout File,.raskinplace,Settings Files,Unknown
The Print Shop Project,.pds,Page Layouts,Unknown
BBC Dirac Video,.drc,Video,Unknown
tldraw Drawing,.tldr,Misc Files,Unknown
Blood Sound Properties,.sfx,Text,Unknown
Error-Correcting SeqBox Container File,.ecsbx,Compressed,Unknown
Insta360 Panoramic Video,.insv,Video,Unknown
Windows Program Manager Group,.grp,System Files,Unknown
EBA Command Center Backup,.ebabackup,Backup Files,Unknown
TaxAct 2019 Tax Return File,.ta9,Data Files,Unknown
Tecplot Macro,.mcr,Executable,Unknown
Precompiled INF File,.pnf,System Files,Unknown
IN-HEH Timeline Database,.ihx,Database Files,Unknown
SBIG CCD camera ST-4 Image,.st4,Images,Unknown
PNA Code Calset File,.csa,Data Files,Unknown
MU Online Image File,.ozb,Raster Images,Unknown
MPEG-DASH Video Segment,.m4s,Video,video/iso.segment
Vice City Mod Manager File,.vcm,Game Files,Unknown
Efficient Diary File,.edfw,Encoded Files,Unknown
VCarve Pro Design File,.crv,CAD Files,Unknown
Automator Action,.action,Executable,Unknown
WinRAR Compressed Archive,.rar,Compressed Files,application/vnd.rar
WinRAR Compressed Archive,.rar,Compressed Files,application/x-rar-compressed
Duke Nukem Forever Save File,.dns,Game Files,Unknown
InstallShield Silent Response File,.iss,Settings Files,Unknown
Bryce 4 Scene File,.br4,3D Images,Unknown
YUV4MPEG2 Video File,.y4m,Video,Unknown
QuickTime Link File,.qtl,Video,application/x-quicktimeplayer
Computer Graphics Metafile,.cgm,Vector Images,image/cgm
Edgecam Feature Template,.ft,Settings Files,Unknown
SimCity 4 Saved File,.sc4,Game Files,Unknown
Phoenix BIOS File,.wph,System Files,Unknown
Mariner Write Document,.mwd,Text,Unknown
PortableApps.com Program File,.paf.exe,Executable,application/x-msdos-program
B1 Compressed Archive,.b1,Compressed,Unknown
Modo 3D Image,.lxo,3D Images,Unknown
OpenFlight Scene Description File,.flt,3D Images,text/vnd.ficlab.flt
BRep 3D Model File,.brep,CAD Files,Unknown
EDIUS Plugin File,.tpi,Plugin Files,Unknown
RemoteApp and Desktop Connections Configuration File,.wcx,Settings Files,Unknown
Blizzard Software Update File,.tfil,Misc Files,Unknown
iCalendar File,.ical,Misc Files,Unknown
DesignPro Label File,.zds,Page Layouts,Unknown
Renamed Microsoft Excel Spreadsheet (Legacy),._xls,Spreadsheet,Unknown
PROMT Translator Document,.std,Settings Files,application/vnd.sun.xml.draw.template
MU Online Game Data File,.bmd,Game Files,Unknown
eBook Pro eBook File,.ebk,eBook,Unknown
Casio FZ-1 Full Voice Dump,.fzf,Audio,Unknown
JPEG File Interchange Format,.jfif,Raster Images,image/jpeg
JPEG File Interchange Format,.jfif,Raster Images,image/pjpeg
Oric Tape Image,.tap,Disk Images,image/vnd.tencent.tap
Alternativa Texture File,.atf,3D Images,application/ATF
Xcode Snapshot,.xcsnapshots,Developer Files,Unknown
OEM Setup File,.oem,Settings Files,Unknown
Everything File List,.efu,Spreadsheet,Unknown
ER/Studio Data Model File,.dm1,Developer Files,Unknown
Misnamed BZ2 File,.gz2,Compressed,Unknown
Visual Design Stream,.vds,CAD Files,model/vnd.sap.vds
Report Object Variable,.rov,Misc Files,Unknown
Autodesk SKETCH thumbnail Image,.skf,Images,Unknown
Skyscraper Simulator Building Script,.bld,3D Images,Unknown
ZSNES Slot 1 Saved State File,.zs1,Game Files,Unknown
ImageLab Image,.b_w,Images,Unknown
Poser Binary Morph File,.pmd,3D Images,Unknown
CPIO Compressed Archive,.cpio,Compressed Files,application/x-cpio
Ziphelp Package,.zhelp,Compressed,Unknown
Maya PLE Project File,.mp,3D Images,Unknown
Snapz Pro X Recorded Video File,.rvid,Video,Unknown
Compressed Text File,.tx_,Compressed,Unknown
Rich Text Editor Document,.ort,Text,Unknown
iQIYI Video File,.qsv,Video,Unknown
Adobe Acrobat Plug-in,.acroplugin,Plugin Files,Unknown
Olympus DSS Pro Audio File,.ds2,Audio,Unknown
Scifer Internal Header Archive,.sen,Compressed,Unknown
ScanIt Document,.sid,Raster Images,audio/prs.sid
CryENGINE Facial Editor Sequence File,.fsq,3D Images,Unknown
XQuery Module,.xqm,Developer Files,Unknown
Thermwood Macro File,.thm,Executable,Unknown
Game Maker 3D Model File,.gmmod,3D Images,Unknown
OtsAV Album File,.ots,Audio,application/vnd.oasis.opendocument.spreadsheet-template
Targa Bitmap Image File,.vda,Raster Images,Unknown
Calamus Image,.crg,Images,Unknown
TrueCrypt Volume,.tc,Disk Images,Unknown
Shorten Compressed Audio File,.shn,Audio,Unknown
The Print Shop Project File,.psproj,Page Layouts,Unknown
FoxPro Documenting Wizard List,.lst,Text,Unknown
Korg Trinity Song File,.sng,Audio,Unknown
Painter Color Mixer Pad,.mxs,Settings Files,application/vnd.triscape.mxs
MPEG-4 Audio,.m4a,Audio,audio/mp4
MPEG-4 Audio,.m4a,Audio,audio/aac
ZipSplitter Part 10 File,.s09,Compressed,Unknown
AutoCAD Drawing Interchange Attribute File,.dxx,CAD Files,Unknown
Visual Studio Visual Basic.NET Project,.vbproj,Developer Files,Unknown
FineReader Document,.frdoc,Page Layouts,Unknown
ExtendScript Script File,.jsx,Executable,Unknown
Degas & Degas Elite Image,.pi6,Images,Unknown
Pixela Project,.pixela,Raster Images,Unknown
Xilinx XPS Hardware Specification File,.mhs,CAD Files,Unknown
IDRISI Vector Documentation File,.vdc,GIS Files,Unknown
Asymptote Module,.asy,Vector Images,Unknown
Microsoft Works Database,.wdb,Database Files,application/vnd.ms-works
